Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604367912,137.110.35.169,49202,132.239.0.252,53,17,65,353,1,1,1604367912039;1604367912061;,65;353;,1;2;
1604367912,137.110.35.169,62537,132.239.0.252,53,17,65,365,1,1,1604367912039;1604367912066;,65;365;,1;2;
1604367912,2607:F720:1901:1691:137:110:35:169,1320,2607:F8B0:4007:804::200E,443,6,3805,3252,13,14,1604367912067;1604367912092;1604367912092;1604367912093;1604367912124;1604367912149;1604367912155;1604367912155;1604367912156;1604367912156;1604367912156;1604367912183;1604367912183;1604367912189;1604367912189;1604367912189;1604367912213;1604367912229;1604367912260;1604367912261;1604367912261;1604367912262;1604367912262;1604367912262;1604367912262;1604367912262;1604367912294;,72;72;60;645;60;272;124;152;731;1300;351;640;91;60;60;91;60;60;557;809;60;310;102;60;99;99;60;,1;2;1;1;2;2;1;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2;2;1;2;1;2;
1604367912,137.110.35.169,55529,132.239.0.252,53,17,80,351,1,1,1604367912517;1604367912540;,80;351;,1;2;
1604367912,137.110.35.169,49720,132.239.0.252,53,17,80,363,1,1,1604367912517;1604367912544;,80;363;,1;2;
1604367912,137.110.35.169,49720,132.239.0.250,53,17,80,363,1,1,1604367912540;1604367912563;,80;363;,1;2;
1604367912,137.110.35.169,55529,132.239.0.250,53,17,80,351,1,1,1604367912540;1604367912569;,80;351;,1;2;
1604367912,2607:F720:1901:1691:137:110:35:169,1321,2607:F8B0:4007:811::200A,443,6,2778,2893,12,12,1604367912545;1604367912571;1604367912571;1604367912572;1604367912601;1604367912608;1604367912610;1604367912611;1604367912611;1604367912612;1604367912636;1604367912636;1604367912643;1604367912643;1604367912666;1604367912683;1604367912725;1604367912725;1604367912725;1604367912726;1604367912726;1604367912726;1604367912727;1604367912755;,72;72;60;660;60;272;124;152;562;778;640;91;60;91;60;60;481;715;60;283;99;60;99;60;,1;2;1;1;2;2;1;1;1;1;2;1;2;2;2;1;2;2;1;2;2;1;1;2;
1604367912,2607:F720:1901:1691:137:110:35:169,1271,2607:F8B0:4007:80E::200E,443,6,922,17447,9,17,1604367912716;1604367912740;1604367912878;1604367912878;1604367912878;1604367912879;1604367912880;1604367912880;1604367912880;1604367912880;1604367912880;1604367912881;1604367912881;1604367912881;1604367912881;1604367912881;1604367912881;1604367912882;1604367912882;1604367912882;1604367912882;1604367912882;1604367912882;1604367912883;1604367912886;1604367912886;,442;60;420;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;170;60;1280;1280;60;1265;172;60;,1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;
1604367913,2607:F720:1901:1691:137:110:35:169,1271,2607:F8B0:4007:80E::200E,443,6,2859,111572,47,93,1604367913151;1604367913151;1604367913151;1604367913152;1604367913152;1604367913152;1604367913152;1604367913152;1604367913153;1604367913153;1604367913153;1604367913153;1604367913153;1604367913154;1604367913154;1604367913154;1604367913154;1604367913154;1604367913154;1604367913154;1604367913154;1604367913155;1604367913156;1604367913156;1604367913156;1604367913156;1604367913156;1604367913156;1604367913157;1604367913157;1604367913157;1604367913157;1604367913157;1604367913157;1604367913157;1604367913157;1604367913157;1604367913158;1604367913158;1604367913158;1604367913158;1604367913158;1604367913158;1604367913158;1604367913159;1604367913159;1604367913159;1604367913159;1604367913159;1604367913159;1604367913159;1604367913159;1604367913160;1604367913160;1604367913160;1604367913160;1604367913160;1604367913160;1604367913176;1604367913176;1604367913178;1604367913178;1604367913179;1604367913179;1604367913180;1604367913180;1604367913180;1604367913180;1604367913180;1604367913181;1604367913181;1604367913181;1604367913181;1604367913181;1604367913181;1604367913182;1604367913182;1604367913182;1604367913183;1604367913224;1604367913286;1604367913286;1604367913286;1604367913286;1604367913286;1604367913286;1604367913287;1604367913287;1604367913287;1604367913287;1604367913287;1604367913287;1604367913287;1604367913288;1604367913288;1604367913288;1604367913288;1604367913288;1604367913288;1604367913289;1604367913289;1604367913289;1604367913289;1604367913289;1604367913289;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913290;1604367913291;1604367913291;1604367913292;1604367913292;1604367913292;1604367913292;1604367913292;1604367913293;1604367913293;1604367913293;1604367913293;1604367913293;1604367913293;1604367913293;1604367913294;1604367913294;1604367913294;1604367913294;1604367913294;1604367913309;1604367913309;1604367913309;1604367913309;1604367913339;,1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;895;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1193;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;431;346;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;741;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;895;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1193;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;1280;1280;60;668;91;60;99;99;60;,2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;1;2;
